Region 82 Avg IOU: 0.559237, Class: 0.974027, Obj: 0.354873, No Obj: 0.000329, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.624077, Class: 0.821529, Obj: 0.096890, No Obj: 0.000199, .5R: 0.714286, .75R: 0.142857,  count: 7
Region 106 Avg IOU: 0.657992, Class: 0.934326, Obj: 0.028612, No Obj: 0.000028, .5R: 0.750000, .75R: 0.500000,  count: 4
Region 82 Avg IOU: 0.617367, Class: 0.995643, Obj: 0.123306, No Obj: 0.000214, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.747633, Class: 0.758588, Obj: 0.027383, No Obj: 0.000181, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 106 Avg IOU: 0.663079, Class: 0.814048, Obj: 0.004845, No Obj: 0.000031, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 82 Avg IOU: 0.587615, Class: 0.696855, Obj: 0.016149, No Obj: 0.000192, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.718979, Class: 0.671293, Obj: 0.114322, No Obj: 0.000122, .5R: 0.750000, .75R: 0.500000,  count: 4
Region 106 Avg IOU: 0.745945, Class: 0.767082, Obj: 0.018396, No Obj: 0.000018, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 82 Avg IOU: 0.560930, Class: 0.628629, Obj: 0.003074, No Obj: 0.000127, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.634907, Class: 0.858039, Obj: 0.191234, No Obj: 0.000121, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.660137, Class: 0.969476, Obj: 0.220850, No Obj: 0.000036, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 82 Avg IOU: 0.584396, Class: 0.938117, Obj: 0.007119, No Obj: 0.000179, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.674888, Class: 0.832998, Obj: 0.176503, No Obj: 0.000191, .5R: 1.000000, .75R: 0.166667,  count: 6
Region 106 Avg IOU: 0.751952, Class: 0.986492, Obj: 0.717803, No Obj: 0.000034, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.657797, Class: 0.819816, Obj: 0.012827, No Obj: 0.000272, .5R: 0.750000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.697709, Class: 0.939223, Obj: 0.335041, No Obj: 0.000118, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 106 Avg IOU: 0.645611, Class: 0.925480, Obj: 0.008412, No Obj: 0.000037, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.615381, Class: 0.989701, Obj: 0.168060, No Obj: 0.000163, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.670718, Class: 0.721415, Obj: 0.083373, No Obj: 0.000144, .5R: 1.000000, .75R: 0.400000,  count: 5
Region 106 Avg IOU: 0.796169, Class: 0.984245, Obj: 0.028839, No Obj: 0.000018, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.561394, Class: 0.928670, Obj: 0.009492, No Obj: 0.000164, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.614276, Class: 0.586828, Obj: 0.185207, No Obj: 0.000164, .5R: 0.600000, .75R: 0.200000,  count: 5
Region 106 Avg IOU: 0.713877, Class: 0.446332, Obj: 0.415673, No Obj: 0.000046, .5R: 1.000000, .75R: 0.500000,  count: 2
3001: 0.712287, 0.712287 avg, 0.000010 rate, 13.933474 seconds, 192064 images
Loaded: 0.000065 seconds
Region 82 Avg IOU: 0.670520, Class: 0.660381, Obj: 0.033668, No Obj: 0.000210, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.564035, Class: 0.908798, Obj: 0.117882, No Obj: 0.000108, .5R: 1.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.779089, Class: 0.828738, Obj: 0.209916, No Obj: 0.000030, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 82 Avg IOU: 0.490423, Class: 0.517508, Obj: 0.031973, No Obj: 0.000146, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.773782, Class: 0.730712, Obj: 0.180373, No Obj: 0.000123, .5R: 1.000000, .75R: 0.750000,  count: 4
Region 106 Avg IOU: 0.749399, Class: 0.593358, Obj: 0.002465, No Obj: 0.000015, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: 0.719353, Class: 0.667401, Obj: 0.067615, No Obj: 0.000189, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.675039, Class: 0.911429, Obj: 0.153677, No Obj: 0.000129, .5R: 1.000000, .75R: 0.400000,  count: 5
